order,parameter,optimization-start,optimization-end,opt-trading-days,opt-trading-times,profit,max_draw_down
1,"{'upper': 0.8, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,76,-231788.98100000003,253048.60649999997
2,"{'upper': 0.8, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,76,-217858.74649999995,246872.50599999988
3,"{'upper': 0.8, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,76,-210313.43799999997,235496.8689999999
4,"{'upper': 0.8, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,76,-217375.0319999999,240074.93949999992
5,"{'upper': 0.8, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,76,-192469.87300000008,224335.0775
6,"{'upper': 0.8, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,76,-135001.06850000026,171620.13100000014
7,"{'upper': 0.8, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,76,-143481.19300000017,171611.46050000016
8,"{'upper': 0.8, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,76,-49674.85099999995,233733.5555
9,"{'upper': 0.9, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,68,-217853.56599999993,241071.33299999993
10,"{'upper': 0.9, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,68,-225511.11749999993,246539.7954999999
11,"{'upper': 0.9, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,68,-217129.36799999993,239120.67999999993
12,"{'upper': 0.9, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,68,-227494.29550000007,247052.13150000005
13,"{'upper': 0.9, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,68,-202967.22150000007,225396.33550000004
14,"{'upper': 0.9, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,68,-88924.04299999999,153185.2455
15,"{'upper': 0.9, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,68,-87984.82349999998,152500.54049999997
16,"{'upper': 0.9, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,68,13936.857000000136,217041.80699999994
17,"{'upper': 1.0, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,63,-202174.62799999988,227937.95049999986
18,"{'upper': 1.0, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,64,-216000.94399999996,239735.50799999997
19,"{'upper': 1.0, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,64,-203362.58750000005,228761.17749999996
20,"{'upper': 1.0, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,64,-208668.693,234242.58349999995
21,"{'upper': 1.0, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,64,-177918.31650000002,210483.77000000002
22,"{'upper': 1.0, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,64,-41408.433499999985,134195.7530000002
23,"{'upper': 1.0, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,64,-56249.949999999895,145506.5835000001
24,"{'upper': 1.0, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,64,31483.237500000283,190462.86799999984
25,"{'upper': 1.1, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,59,-170836.04650000003,204282.486
26,"{'upper': 1.1, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,59,-166363.91199999992,205747.56899999993
27,"{'upper': 1.1, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,60,-174767.07800000018,208970.02300000016
28,"{'upper': 1.1, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,60,-189333.06950000007,219618.57700000005
29,"{'upper': 1.1, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,60,-144689.50599999994,181552.02899999998
30,"{'upper': 1.1, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,60,-234.6559999997888,99353.2319999999
31,"{'upper': 1.1, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,60,-8191.207999999928,102950.3115000001
32,"{'upper': 1.1, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,60,93521.6115000002,128601.37000000017
33,"{'upper': 1.2, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,54,-128885.74499999995,168603.9729999999
34,"{'upper': 1.2, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,54,-123978.01699999989,173145.91049999985
35,"{'upper': 1.2, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,54,-134651.86150000012,182163.74650000007
36,"{'upper': 1.2, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,54,-132053.8635000001,181085.24300000002
37,"{'upper': 1.2, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,54,-94067.9364999999,144020.7709999999
38,"{'upper': 1.2, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,54,-405.66899999965324,110940.63299999989
39,"{'upper': 1.2, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,54,8607.720999999934,109889.68799999988
40,"{'upper': 1.2, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,54,130350.03700000003,66539.10149999993
41,"{'upper': 1.3, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,50,-180794.142,201557.70599999998
42,"{'upper': 1.3, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,50,-176697.5989999999,201281.16699999984
43,"{'upper': 1.3, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,50,-178849.99449999997,204975.15249999997
44,"{'upper': 1.3, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,50,-190230.18150000004,212342.415
45,"{'upper': 1.3, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,50,-155280.14649999983,180989.84749999986
46,"{'upper': 1.3, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,50,-75140.81199999992,126271.9579999999
47,"{'upper': 1.3, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,50,-72160.4700000001,114306.48450000005
48,"{'upper': 1.3, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,50,22781.33300000007,116770.08999999997
49,"{'upper': 1.4, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,38,-163393.6139999999,170697.46949999992
50,"{'upper': 1.4, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,38,-155214.56949999998,167193.15649999992
51,"{'upper': 1.4, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,38,-162628.15049999996,175763.57499999992
52,"{'upper': 1.4, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,38,-164695.3669999999,177279.7464999999
53,"{'upper': 1.4, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,38,-132156.68549999988,140092.47049999994
54,"{'upper': 1.4, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,38,-130856.57449999989,134958.8854999999
55,"{'upper': 1.4, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,38,-126842.32349999995,129934.52149999994
56,"{'upper': 1.4, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,38,-44781.88949999996,117764.89149999997
57,"{'upper': 1.5, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,25,-80459.09500000009,151984.3755
58,"{'upper': 1.5, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,25,-64509.95049999999,150164.08599999998
59,"{'upper': 1.5, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,25,-64685.175500000005,150526.79800000004
60,"{'upper': 1.5, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,25,-69404.32249999992,147109.881
61,"{'upper': 1.5, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,25,-66985.688,138168.773
62,"{'upper': 1.5, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,25,-57530.70649999993,109367.76449999996
63,"{'upper': 1.5, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,25,-77204.98499999994,108176.77749999997
64,"{'upper': 1.5, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,25,34097.42149999999,74041.99650000007
65,"{'upper': 1.6, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,18,-94184.46500000011,148507.37750000003
66,"{'upper': 1.6, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,18,-83874.99200000006,146125.55550000007
67,"{'upper': 1.6, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,18,-78453.636,144635.16850000006
68,"{'upper': 1.6, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,18,-73398.97599999998,140866.9715000001
69,"{'upper': 1.6, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,18,-89061.04299999992,135618.14850000004
70,"{'upper': 1.6, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,18,-79982.9295,109614.91499999998
71,"{'upper': 1.6, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,18,-102919.6865,111739.551
72,"{'upper': 1.6, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,18,-18976.171999999857,36174.423499999975
73,"{'upper': 1.7, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,9,-102021.03000000001,130952.266
74,"{'upper': 1.7, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,9,-81438.76099999995,129061.24899999998
75,"{'upper': 1.7, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,9,-85558.91349999994,131761.75900000002
76,"{'upper': 1.7, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,9,-84144.6,128626.15900000004
77,"{'upper': 1.7, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,9,-111235.12549999997,125205.73299999998
78,"{'upper': 1.7, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,9,-97323.07400000005,98480.00200000004
79,"{'upper': 1.7, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,9,-107917.03400000003,107917.03400000004
80,"{'upper': 1.7, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,9,-32221.64400000015,32221.644000000146
81,"{'upper': 1.8, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,4,-89676.59499999999,91641.74699999997
82,"{'upper': 1.8, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,4,-66526.97400000003,69139.92300000001
83,"{'upper': 1.8, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,4,-69196.82100000003,71641.21299999999
84,"{'upper': 1.8, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,4,-71212.84999999998,71986.15899999999
85,"{'upper': 1.8, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,4,-69207.30999999998,69980.61899999998
86,"{'upper': 1.8, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,4,-34879.06250000006,34879.06250000006
87,"{'upper': 1.8, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,4,-34879.06250000006,34879.06250000006
88,"{'upper': 1.8, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,4,-18162.269999999902,18162.269999999902
89,"{'upper': 1.9, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,0,0.0,0.0
90,"{'upper': 1.9, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,0,0.0,0.0
91,"{'upper': 1.9, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,0,0.0,0.0
92,"{'upper': 1.9, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,0,0.0,0.0
93,"{'upper': 1.9, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,0,0.0,0.0
94,"{'upper': 1.9, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,0,0.0,0.0
95,"{'upper': 1.9, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,0,0.0,0.0
96,"{'upper': 1.9, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,0,0.0,0.0
97,"{'upper': 2.0, 'up_medium': 0.2}",2021-10-15,2021-12-24,51,0,0.0,0.0
98,"{'upper': 2.0, 'up_medium': 0.3}",2021-10-15,2021-12-24,51,0,0.0,0.0
99,"{'upper': 2.0, 'up_medium': 0.4}",2021-10-15,2021-12-24,51,0,0.0,0.0
100,"{'upper': 2.0, 'up_medium': 0.5}",2021-10-15,2021-12-24,51,0,0.0,0.0
101,"{'upper': 2.0, 'up_medium': 0.6}",2021-10-15,2021-12-24,51,0,0.0,0.0
102,"{'upper': 2.0, 'up_medium': 0.7}",2021-10-15,2021-12-24,51,0,0.0,0.0
103,"{'upper': 2.0, 'up_medium': 0.8}",2021-10-15,2021-12-24,51,0,0.0,0.0
104,"{'upper': 2.0, 'up_medium': 0.9}",2021-10-15,2021-12-24,51,0,0.0,0.0
